OBJETIVOS ESPECIFICOS,ACTIVIDADES,ENERO,,,,FEBRERO,,,,MARZO,,,,ABRIL,,,,MAYO,,,
,,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
Objetivo Especifico 1: Identificar los principales contaminantes presentes en los ecosistemas acu ticos y su origen,Realizar una revisi¢n bibliogr fica sobre los contaminantes comunes en ecosistemas acu ticos,,,,,,,,,,,,,,,,,,,,
,Recolectar muestras de agua en diferentes puntos de un ecosistema acu tico espec¡fico,,,,,,,,,,,,,,,,,,,,
,Identificar y categorizar los contaminantes encontrados en las muestras de agua,,,,,,,,,,,,,,,,,,,,
,Determinar el origen de los principales contaminantes a trav‚s de an lisis de fuentes y rutas de contaminaci¢n,,,,,,,,,,,,,,,,,,,,
,Documentar los hallazgos en un informe preliminar,,,,,,,,,,,,,,,,,,,,
Objetivo Especifico 2: Evaluar el impacto de diferentes niveles de contaminaci¢n en la tasa de mortalidad de los peces.,Dise¤ar un experimento para evaluar la toxicidad de los contaminantes identificados,,,,,,,,,,,,,,,,,,,,
,Exponer a los peces a diferentes concentraciones de contaminantes en condiciones controladas,,,,,,,,,,,,,,,,,,,,
,Monitorear la tasa de mortalidad de los peces durante el experimento,,,,,,,,,,,,,,,,,,,,
,Analizar los resultados para identificar patrones entre niveles de contaminaci¢n y mortalidad,,,,,,,,,,,,,,,,,,,,
,Redactar un informe de resultados preliminares del experimento,,,,,,,,,,,,,,,,,,,,
Objetivo Especifico 3: Analizar los efectos de la contaminaci¢n en el comportamiento y la salud general de los peces.,Observar y registrar cambios en el comportamiento de los peces expuestos a contaminantes,,,,,,,,,,,,,,,,,,,,
,Realizar ex menes de salud para evaluar el impacto f¡sico de los contaminantes en los peces,,,,,,,,,,,,,,,,,,,,
,Comparar la salud y el comportamiento de los peces en ambientes contaminados frente a los no contaminados,,,,,,,,,,,,,,,,,,,,
,Identificar correlaciones entre tipos de contaminantes y efectos espec¡ficos en los peces,,,,,,,,,,,,,,,,,,,,
,Documentar los resultados y preparar un informe intermedio,,,,,,,,,,,,,,,,,,,,
Objetivo Especifico 4: Proponer medidas de mitigaci¢n y pol¡ticas ambientales basadas en los hallazgos de la investigaci¢n.,Revisar los resultados de los estudios y experimentos realizados,,,,,,,,,,,,,,,,,,,,
,Consultar con expertos en medio ambiente sobre posibles medidas de mitigaci¢n,,,,,,,,,,,,,,,,,,,,
,Desarrollar propuestas de pol¡ticas ambientales para reducir la contaminaci¢n acu tica,,,,,,,,,,,,,,,,,,,,
,Preparar un documento de recomendaciones para la conservaci¢n de los ecosistemas acu ticos,,,,,,,,,,,,,,,,,,,,
,Presentar el documento de recomendaciones a las autoridades o partes interesadas,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
